Domain Name,Query Type,Count Add RR,Delta Time,Packet Number
 
File: AjoutDeFichiers/imgToDrive.pcapng
 
gateway.icloud.com,1,0,17.101,54
gateway.icloud.com,1,0,0.025,55
p72-ckdatabase.icloud.com,1,0,0.013,59
p72-ckdatabase.icloud.com,1,0,0.023,63
edge.icloud-content.com,1,0,0.371,122
edge.icloud-content.com,1,0,0.024,123
p72-content.icloud.com,1,0,0.577,975
p72-content.icloud.com,1,0,0.023,976
 
File: AjoutDeFichiers/imgToDrive2.pcapng
 
p72-ckdatabase.icloud.com,1,0,8.809,17
p72-ckdatabase.icloud.com,1,0,0.024,18
edge.icloud-content.com,1,0,0.398,41
edge.icloud-content.com,1,0,0.023,44
p72-content.icloud.com,1,0,0.789,1408
p72-content.icloud.com,1,0,0.026,1409
 
File: AjoutDeFichiers/imgToDrive3.pcapng
 
settings-win.data.microsoft.com,1,0,2.248,8
settings-win.data.microsoft.com,1,0,0.022,9
settings-win.data.microsoft.com,1,0,0.002,10
settings-win.data.microsoft.com,1,0,0.005,11
p72-ckdatabase.icloud.com,1,0,13.221,69
p72-ckdatabase.icloud.com,1,0,0.026,70
edge.icloud-content.com,1,0,0.776,103
edge.icloud-content.com,1,0,0.024,104
p72-content.icloud.com,1,0,0.201,158
p72-content.icloud.com,1,0,0.024,159
 
File: AjoutDeFichiers/imgToDrive4.pcapng
 
p72-ckdatabase.icloud.com,1,0,23.3,128
p72-ckdatabase.icloud.com,1,0,0.025,129
edge.icloud-content.com,1,0,0.359,153
edge.icloud-content.com,1,0,0.027,154
p72-content.icloud.com,1,0,0.462,536
p72-content.icloud.com,1,0,0.02,537
p72-content.icloud.com,1,0,0.004,538
p72-content.icloud.com,1,0,0.005,540
 
File: AjoutDeFichiers/imgToDrive5.pcapng
 
edge.icloud-content.com,1,0,25.528,93
edge.icloud-content.com,1,0,0.033,95
p72-content.icloud.com,1,0,1.072,2020
p72-content.icloud.com,1,0,0.023,2021
 
File: AjoutDeFichiers/Linux_WifiUCL_pdfToDrive.pcapng
 
p29-setup.icloud.com,1,1,10.496,420
p29-setup.icloud.com,28,1,0.0,421
p29-setup.icloud.com,1,1,0.0,422
setup.fe2.apple-dns.net,28,1,0.0,423
setup.fe2.apple-dns.net,28,1,0.002,424
p29-setup.icloud.com,28,6,0.0,425
 
File: AjoutDeFichiers/Linux_WifiUCL_pdfToDrive2.pcapng
 
p29-docws.icloud.com,1,1,7.004,39
p29-docws.icloud.com,28,1,0.0,40
p29-docws.icloud.com,1,1,0.0,41
p29-docws.icloud.com,28,1,0.0,42
p29-docws.icloud.com,28,1,0.017,43
p29-docws.icloud.com,1,1,-0.0,44
p29-docws.icloud.com,1,1,0.0,45
p29-docws.icloud.com,28,1,0.0,46
cws.icloud-content.com,1,1,0.29,84
cws.icloud-content.com,28,1,0.0,85
cws.icloud-content.com,1,1,0.0,86
cws.icloud-content.com,28,1,0.0,87
cws.icloud-content.com,28,1,0.047,88
cws.icloud-content.com,1,1,0.0,89
3dbe324d-bd6a-4005-a3fd-a87445cbdaba.apple.com.v.aaplimg.com,28,1,0.0,90
cws.icloud-content.com,1,1,0.0,91
3dbe324d-bd6a-4005-a3fd-a87445cbdaba.apple.com.v.aaplimg.com,28,1,0.003,92
cws.icloud-content.com,28,1,0.0,93
p29-setup.icloud.com,1,1,0.97,181
p29-setup.icloud.com,28,1,0.0,182
p29-setup.icloud.com,1,1,0.0,183
p29-setup.icloud.com,28,1,0.0,184
p29-setup.icloud.com,1,1,0.002,185
p29-setup.icloud.com,28,1,0.0,186
p29-setup.icloud.com,1,1,0.0,187
p29-setup.icloud.com,28,1,0.0,188
cvws.icloud-content.com,1,1,0.36,218
cvws.icloud-content.com,28,1,0.0,219
cvws.icloud-content.com,1,1,0.0,220
cvws.icloud-content.com,28,1,0.0,221
cvws.icloud-content.com,1,1,0.009,222
cvws.icloud-content.com,1,1,0.001,223
cvws.icloud-content.com,28,1,0.006,224
cvws.icloud-content.com,28,1,0.0,225
 
File: AjoutDeFichiers/Linux_Wifi_pdfToDrive3.pcapng
 
cws.icloud-content.com,1,1,3.297,32
cws.icloud-content.com,1,0,0.0,33
cws.icloud-content.com,1,0,0.046,34
cws.icloud-content.com,1,1,0.001,35
p29-docws.icloud.com,1,1,2.615,770
p29-docws.icloud.com,1,0,0.0,771
p29-setup.icloud.com,1,1,0.018,772
p29-setup.icloud.com,1,0,0.0,773
p29-docws.icloud.com,1,0,0.021,778
p29-docws.icloud.com,1,1,0.0,779
p29-setup.icloud.com,1,0,0.034,784
p29-setup.icloud.com,1,1,0.0,785
 
File: AjoutDeFichiers/multipleFilesToDrive.pcapng
 
settings-win.data.microsoft.com,1,0,0.951,2
settings-win.data.microsoft.com,1,0,0.024,3
p72-ckdatabase.icloud.com,1,0,15.275,142
p72-ckdatabase.icloud.com,1,0,0.025,143
edge.icloud-content.com,1,0,1.22,252
edge.icloud-content.com,1,0,0.025,253
p72-content.icloud.com,1,0,0.312,291
p72-content.icloud.com,1,0,0.025,297
 
File: AjoutDeFichiers/multipleFilesToDrive2.pcapng
 
p72-ckdatabase.icloud.com,1,0,21.781,75
p72-ckdatabase.icloud.com,1,0,0.027,76
edge.icloud-content.com,1,0,0.427,108
edge.icloud-content.com,1,0,0.026,109
p72-content.icloud.com,1,0,0.49,866
p72-content.icloud.com,1,0,0.028,867
login.live.com,1,0,17.53,3937
login.live.com,1,0,0.029,3938
 
File: AjoutDeFichiers/multipleFilesToDrive3.pcapng
 
edge.icloud-content.com,1,0,15.697,82
edge.icloud-content.com,1,0,0.025,84
p72-ckdatabase.icloud.com,1,0,3.108,2130
p72-ckdatabase.icloud.com,1,0,0.025,2132
 
File: AjoutDeFichiers/Linux_4G_ImageToDrive.pcapng
 
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,1.412,4
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,5
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.001,6
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.0,7
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.009,8
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.0,9
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.0,10
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,11
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.006,12
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,13
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.001,14
